Didok number;parkrail_number;parkrail_price_day;parkrail_price_month;parkrail_price_year;parkrail_binding_time1;parkrail_binding_time2;parkrail_binding_time3;parkrail_comment;railtaxitext;railtaxiinfo;rental_bike_designation;rental_bike_number;rental_bike_comment;bike_parking_status_d;bike_parking_comment_d;bike_parking_lockable;bike_parking_lockable_text;carsharing location_designation;parkrail_app;parkrail_Webshop;parkrail_local;parkrail_Automat;OPUIC;Stop name;Station abbreviation;lod;Geopos;transport company;Weather;Postal code
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Elektrovelo;10.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Countrybike;36.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindervelo;5.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Comfortbike;4.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Elektrovelo;10.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Comfortbike;4.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Central Bahnparking;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Countrybike;36.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Tandem;2.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Mountainbike;8.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Tandem;2.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Central Bahnparking;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindertrailer;1.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Central Bahnparking;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Elektrovelo;10.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Central Bahnparking;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Mountainbike;8.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Countrybike;36.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindervelo;5.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindertrailer;1.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindertrailer;1.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Countrybike;36.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Central Bahnparking;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Mountainbike;8.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Central Bahnparking;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kinderanhänger;1.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Comfortbike;4.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Tandem;2.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Comfortbike;4.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Mountainbike;8.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Tandem;2.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindervelo;5.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Central Bahnparking;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindervelo;5.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindertrailer;1.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;;;;;;;;"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.";Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kinderanhänger;1.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;0;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
